         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      553    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      741    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      572    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1524    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      298    0.000    0.000    0.000    0.000 traitlets.py:419(__init__)
      117    0.000    0.000    0.001    0.000 decorator.py:145(update)
      132    0.000    0.000    0.001    0.000 typing.py:212(_remove_dups_flatten)
     1592    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
       90    0.000    0.000    0.001    0.000 traitlets.py:742(setup_class)
      115    0.000    0.000    0.013    0.000 sre_parse.py:913(parse)
      118    0.000    0.000    0.000    0.000 inspect.py:2750(__init__)
      545    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      115    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      225    0.000    0.000    0.003    0.000 typing.py:744(__getitem__)
      931    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      242    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     2180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      106    0.000    0.000    0.002    0.000 typing.py:180(_subs_tvars)
     1425    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
     1666    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       64    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1414    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
       31    0.000    0.000    0.136    0.004 __init__.py:1(<module>)
     1085    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      903    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      692    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       95    0.000    0.000    0.002    0.000 typing.py:760(__getitem_inner__)
      106    0.000    0.000    0.003    0.000 typing.py:621(__getitem__)
     1623    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       96    0.000    0.000    0.001    0.000 functools.py:37(update_wrapper)
        2    0.000    0.000    0.001    0.000 style.py:62(__new__)
       13    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
    674/1    0.000    0.000    0.286    0.286 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       22    0.000    0.000    0.002    0.000 gettext.py:474(find)
      545    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       96    0.000    0.000    0.000    0.000 posixpath.py:75(join)
      201    0.000    0.000    0.003    0.000 typing.py:633(copy_with)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      115    0.000    0.000    0.008    0.000 sre_compile.py:598(_code)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      871    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      478    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      478    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      553    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      525    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       89    0.000    0.000    0.000    0.000 traitlets.py:1627(__init__)
      412    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      550    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       35    0.000    0.000    0.000    0.000 argparse.py:609(_expand_help)
       36    0.000    0.000    0.003    0.000 argparse.py:501(_format_action)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      786    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       48    0.000    0.000    0.001    0.000 argparse.py:159(__init__)
       37    0.000    0.000    0.002    0.000 argparse.py:1328(add_argument)
      210    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
     95/3    0.000    0.000    0.277    0.092 {built-in method builtins.__import__}
      117    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
  137/106    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      583    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
        1    0.000    0.000    0.007    0.007 ansi.py:1(<module>)
     1097    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      543    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      136    0.000    0.000    0.000    0.000 traitlets.py:651(tag)
       44    0.000    0.000    0.001    0.000 gettext.py:211(_expand_lang)
       33    0.000    0.000    0.001    0.000 argparse.py:1247(__init__)
      553    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.001    0.001 os.py:978(popen)
       52    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      160    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     1295    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       96    0.000    0.000    0.010    0.000 decorator.py:259(decorator)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:339(InteractiveShell)
      374    0.000    0.000    0.000    0.000 argparse.py:1299(register)
      286    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      362    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       90    0.000    0.000    0.001    0.000 traitlets.py:737(__init__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      134    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       20    0.000    0.000    0.000    0.000 filters.py:313(__init__)
      115    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      501    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      118    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      209    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      303    0.000    0.000    0.000    0.000 types.py:164(__get__)
       13    0.000    0.000    0.001    0.000 argparse.py:391(_format_actions_usage)
      558    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
       13    0.000    0.000    0.003    0.000 enum.py:389(_create_)
       10    0.000    0.000    0.002    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 prompt.py:226(PromptSession)
     1026    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      166    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      156    0.000    0.000    0.000    0.000 token.py:16(split)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      114    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       33    0.000    0.000    0.000    0.000 typing.py:844(__init_subclass__)
       74    0.000    0.000    0.000    0.000 argparse.py:588(_format_args)
       91    0.000    0.000    0.009    0.000 magic.py:186(magic_deco)
     1282    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      130    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       16    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      574    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       52    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       32    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      389    0.000    0.000    0.000    0.000 inspect.py:2799(<genexpr>)
       87    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      415    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
       81    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.001    0.001 stdlib.py:11(<module>)
       89    0.000    0.000    0.001    0.000 traitlets.py:757(setup_class)
      443    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
      114    0.000    0.000    0.000    0.000 inspect.py:171(isgeneratorfunction)
        1    0.000    0.000    0.009    0.009 named_commands.py:5(<module>)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1301(<dictcomp>)
      555    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      234    0.000    0.000    0.021    0.000 re.py:232(compile)
      325    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
      137    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       32    0.000    0.000    0.000    0.000 typing.py:533(__init__)
        1    0.000    0.000    0.004    0.004 ssl.py:91(<module>)
       81    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       13    0.000    0.000    0.004    0.000 enum.py:633(_convert)
      354    0.000    0.000    0.000    0.000 traitlets.py:383(class_init)
        1    0.000    0.000    0.020    0.020 interactiveshell.py:2(<module>)
      891    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      117    0.000    0.000    0.000    0.000 inspect.py:179(iscoroutinefunction)
       32    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       22    0.000    0.000    0.000    0.000 argparse.py:1554(__init__)
        1    0.000    0.000    0.138    0.138 interactiveshell.py:1(<module>)
        1    0.000    0.000    0.002    0.002 prompt.py:26(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1412(_execute_child)
      148    0.000    0.000    0.000    0.000 os.py:752(encode)
       72    0.000    0.000    0.000    0.000 argparse.py:622(_iter_indented_subactions)
       23    0.000    0.000    0.001    0.000 typing.py:819(__class_getitem__)
